N,P,K,ph,soil_health_score,deficiency_report,soil_health_class
62,42,36,6.430010215,90.0,K deficient,Healthy
64,45,43,5.534878156,100.0,No major deficiency,Healthy
83,60,36,6.903985986,90.0,K deficient,Healthy
82,40,40,6.271478837999999,100.0,No major deficiency,Healthy
85,52,45,7.224285503,100.0,No major deficiency,Healthy
91,35,38,6.13428721,80.0,"P deficient, K deficient",Healthy
76,49,42,5.206373153,90.0,ph deficient,Healthy
74,39,38,7.782051312999999,70.0,"P deficient, K deficient, ph excess",Moderate
79,43,39,7.062779015,90.0,K deficient,Healthy
88,55,45,7.730367824,90.0,ph excess,Healthy
60,36,43,5.286203711000001,80.0,"P deficient, ph deficient",Healthy
76,60,39,6.766240045,90.0,K deficient,Healthy
93,56,42,7.382762603,100.0,No major deficiency,Healthy
65,60,43,5.658169482000001,100.0,No major deficiency,Healthy
95,52,36,5.543360237999999,90.0,K deficient,Healthy
75,38,39,6.215109715,80.0,"P deficient, K deficient",Healthy
74,54,38,7.120272972,90.0,K deficient,Healthy
91,36,45,5.950647577000001,90.0,P deficient,Healthy
71,46,40,7.236705436,100.0,No major deficiency,Healthy
99,55,35,6.501697816,90.0,K deficient,Healthy
72,40,38,7.592490617,80.0,"K deficient, ph excess",Healthy
83,58,45,5.875345751,100.0,No major deficiency,Healthy
93,58,38,6.932400225,90.0,K deficient,Healthy
70,36,42,6.9462098810000015,90.0,P deficient,Healthy
76,47,42,5.739175027000001,100.0,No major deficiency,Healthy
99,41,36,6.738652179,90.0,K deficient,Healthy
99,54,37,5.5948196260000005,90.0,K deficient,Healthy
86,59,35,6.946636369,90.0,K deficient,Healthy
69,46,41,5.012139669,90.0,ph deficient,Healthy
91,56,37,6.363472207999999,90.0,K deficient,Healthy
61,52,41,6.880431223,100.0,No major deficiency,Healthy
67,45,38,7.300410836,90.0,K deficient,Healthy
79,42,37,6.587918707999999,90.0,K deficient,Healthy
78,43,42,7.283736617000001,100.0,No major deficiency,Healthy
75,54,36,7.023936392,90.0,K deficient,Healthy
97,36,45,6.939083505,90.0,P deficient,Healthy
67,47,44,7.868474653,90.0,ph excess,Healthy
73,35,38,5.005306977,70.0,"P deficient, K deficient, ph deficient",Moderate
77,36,37,6.136131869,80.0,"P deficient, K deficient",Healthy
81,41,38,7.5240800760000015,80.0,"K deficient, ph excess",Healthy
68,57,43,5.706943251,100.0,No major deficiency,Healthy
72,45,35,5.758506323,90.0,K deficient,Healthy
61,53,43,6.349606327,100.0,No major deficiency,Healthy
67,43,39,5.9999690260000005,90.0,K deficient,Healthy
67,58,39,5.453592032,80.0,"K deficient, ph deficient",Healthy
66,60,38,6.372576327000001,90.0,K deficient,Healthy
82,43,38,5.105588355,80.0,"K deficient, ph deficient",Healthy
84,50,44,5.9353444060000005,100.0,No major deficiency,Healthy
81,53,42,5.17782304,90.0,ph deficient,Healthy
91,50,40,6.462391607000001,100.0,No major deficiency,Healthy
93,53,38,7.069172227,90.0,K deficient,Healthy
90,44,38,7.473134377,90.0,K deficient,Healthy
81,45,35,6.158376967000001,90.0,K deficient,Healthy
78,40,38,7.549873681,80.0,"K deficient, ph excess",Healthy
60,51,36,6.028321557999999,90.0,K deficient,Healthy
88,46,42,6.604993475,100.0,No major deficiency,Healthy
93,47,37,6.500343222000001,90.0,K deficient,Healthy
60,55,45,5.935745417000001,100.0,No major deficiency,Healthy
78,35,44,7.072655622,90.0,P deficient,Healthy
65,37,40,5.333322606,80.0,"P deficient, ph deficient",Healthy
71,54,16,5.7499144210000015,80.0,K deficient,Healthy
61,44,17,6.931756557999999,80.0,K deficient,Healthy
80,43,16,6.657964753,80.0,K deficient,Healthy
73,58,21,6.596060648,80.0,K deficient,Healthy
61,38,20,5.970458434,70.0,"P deficient, K deficient",Moderate
68,41,16,6.158830619,80.0,K deficient,Healthy
93,41,17,6.047906679,80.0,K deficient,Healthy
89,60,19,5.913664501,80.0,K deficient,Healthy
76,44,17,5.855442401,80.0,K deficient,Healthy
67,60,25,5.750254943,80.0,K deficient,Healthy
70,44,19,5.852607099,80.0,K deficient,Healthy
90,49,21,6.4725232870000005,80.0,K deficient,Healthy
62,52,16,6.9670577620000005,80.0,K deficient,Healthy
92,44,16,6.082973754,80.0,K deficient,Healthy
66,54,21,5.919045532,80.0,K deficient,Healthy
63,58,22,6.204747652999999,80.0,K deficient,Healthy
70,47,17,6.600827017,80.0,K deficient,Healthy
61,41,17,6.021902237000001,80.0,K deficient,Healthy
66,53,19,6.033550195,80.0,K deficient,Healthy
74,55,19,6.28886807,80.0,K deficient,Healthy
77,57,21,6.550563822999999,80.0,K deficient,Healthy
99,50,15,5.573286437,80.0,K deficient,Healthy
74,56,22,6.829199275,80.0,K deficient,Healthy
83,45,21,5.716222912,80.0,K deficient,Healthy
100,48,16,5.54990242,80.0,K deficient,Healthy
79,51,16,6.586244581,80.0,K deficient,Healthy
94,39,18,5.893093135,70.0,"P deficient, K deficient",Moderate
75,49,15,5.918263801,80.0,K deficient,Healthy
78,48,22,5.588650585,80.0,K deficient,Healthy
87,54,20,6.576418207000001,80.0,K deficient,Healthy
87,35,25,6.178056304,70.0,"P deficient, K deficient",Moderate
63,43,19,6.641906353,80.0,K deficient,Healthy
84,57,25,6.489040367,80.0,K deficient,Healthy
64,35,23,5.680361037999999,70.0,"P deficient, K deficient",Moderate
60,46,22,6.625404347999999,80.0,K deficient,Healthy
98,44,21,6.524478032,80.0,K deficient,Healthy
75,56,18,5.696205468,80.0,K deficient,Healthy
86,55,21,6.803931519,80.0,K deficient,Healthy
98,35,18,6.252797547999999,70.0,"P deficient, K deficient",Moderate
76,57,18,6.092725883,80.0,K deficient,Healthy
99,56,17,6.234330356,80.0,K deficient,Healthy
60,44,23,5.722579819,80.0,K deficient,Healthy
74,48,17,6.430616465,80.0,K deficient,Healthy
89,60,17,5.983952675,80.0,K deficient,Healthy
69,51,23,6.80163854,80.0,K deficient,Healthy
96,46,22,6.499936446,80.0,K deficient,Healthy
61,60,15,6.265564338,80.0,K deficient,Healthy
74,58,18,6.727303282,80.0,K deficient,Healthy
74,43,23,6.325235159,80.0,K deficient,Healthy
63,43,17,6.807487794,80.0,K deficient,Healthy
99,36,20,6.671085817000001,70.0,"P deficient, K deficient",Moderate
77,36,23,6.648725327,70.0,"P deficient, K deficient",Moderate
87,60,23,6.439071996,80.0,K deficient,Healthy
60,38,17,6.474476516,70.0,"P deficient, K deficient",Moderate
94,54,17,5.871647806,80.0,K deficient,Healthy
95,38,22,5.730617109,70.0,"P deficient, K deficient",Moderate
84,44,21,5.850439831,80.0,K deficient,Healthy
77,58,19,5.791649933,80.0,K deficient,Healthy
66,44,20,6.740000687999999,80.0,K deficient,Healthy
63,35,16,6.272417541,70.0,"P deficient, K deficient",Moderate
79,45,20,5.715208817000001,80.0,K deficient,Healthy
72,60,25,5.773454729,80.0,K deficient,Healthy
67,51,24,5.584171461,80.0,K deficient,Healthy
86,36,24,5.787268394,70.0,"P deficient, K deficient",Moderate
76,48,18,5.77597783,80.0,K deficient,Healthy
75,53,18,6.864793607,80.0,K deficient,Healthy
81,45,23,6.192360002999999,80.0,K deficient,Healthy
73,45,21,6.636803222999999,80.0,K deficient,Healthy
71,35,24,5.826426917,70.0,"P deficient, K deficient",Moderate
96,54,22,6.960358276,80.0,K deficient,Healthy
99,39,18,6.11275104,70.0,"P deficient, K deficient",Moderate
62,48,20,6.708446922,80.0,K deficient,Healthy
86,37,16,5.561510732,70.0,"P deficient, K deficient",Moderate
94,50,19,5.873242491,80.0,K deficient,Healthy
76,39,24,6.995843776,70.0,"P deficient, K deficient",Moderate
77,52,17,5.714799723,80.0,K deficient,Healthy
74,39,23,6.78073637,70.0,"P deficient, K deficient",Moderate
81,49,20,5.513697923,80.0,K deficient,Healthy
63,42,21,5.798423907999999,80.0,K deficient,Healthy
99,38,21,6.352471866,70.0,"P deficient, K deficient",Moderate
90,52,25,6.822586546,80.0,K deficient,Healthy
68,40,19,6.655426355,80.0,K deficient,Healthy
60,57,24,6.1212940410000005,80.0,K deficient,Healthy
71,52,18,5.790770202999999,80.0,K deficient,Healthy
61,59,17,6.47444292,80.0,K deficient,Healthy
88,38,15,6.455116637000001,70.0,"P deficient, K deficient",Moderate
65,60,22,6.6069840860000015,80.0,K deficient,Healthy
78,37,22,6.330554389,70.0,"P deficient, K deficient",Moderate
78,58,15,6.5286312660000005,80.0,K deficient,Healthy
92,60,23,5.721667141,80.0,K deficient,Healthy
79,59,17,6.644205485,80.0,K deficient,Healthy
91,55,15,6.376651091,80.0,K deficient,Healthy
76,51,18,6.247040422,80.0,K deficient,Healthy
87,48,25,6.656730007999999,80.0,K deficient,Healthy
71,60,22,6.2048017,80.0,K deficient,Healthy
90,57,24,6.158860284,80.0,K deficient,Healthy
67,35,22,6.385684213999999,70.0,"P deficient, K deficient",Moderate
60,54,19,6.417820493,80.0,K deficient,Healthy
83,58,23,6.381201909,80.0,K deficient,Healthy
83,57,19,6.877869005,80.0,K deficient,Healthy
40,72,77,7.485996067,90.0,N deficient,Healthy
23,72,84,6.920251378,70.0,"N deficient, K excess",Moderate
39,58,85,5.9969320370000005,70.0,"N deficient, K excess",Moderate
22,72,85,6.391173589,70.0,"N deficient, K excess",Moderate
36,67,77,7.152811172000001,80.0,N deficient,Healthy
32,73,81,5.988992796000002,70.0,"N deficient, K excess",Moderate
58,70,84,6.231049027999999,90.0,K excess,Healthy
59,70,84,7.550808267000001,80.0,"K excess, ph excess",Healthy
42,62,75,7.010570541,90.0,N deficient,Healthy
28,74,81,8.753795334,60.0,"N deficient, K excess, ph excess",Moderate
58,66,79,8.718192847000001,90.0,ph excess,Healthy
43,66,79,7.976607593,80.0,"N deficient, ph excess",Healthy
58,63,81,6.515499548999999,90.0,K excess,Healthy
23,62,85,8.490127142,60.0,"N deficient, K excess, ph excess",Moderate
27,62,77,6.576415562,80.0,N deficient,Healthy
28,72,84,6.481783042999999,70.0,"N deficient, K excess",Moderate
50,56,76,7.966605025,90.0,ph excess,Healthy
39,71,84,8.140825437,60.0,"N deficient, K excess, ph excess",Moderate
25,78,76,7.228963452,80.0,N deficient,Healthy
31,70,77,6.492546046,80.0,N deficient,Healthy
26,80,83,7.528599957000001,60.0,"N deficient, K excess, ph excess",Moderate
25,68,77,7.701446446,70.0,"N deficient, ph excess",Moderate
31,78,76,8.519975748,70.0,"N deficient, ph excess",Moderate
60,68,83,6.620900869,90.0,K excess,Healthy
59,62,83,8.104396057999999,80.0,"K excess, ph excess",Healthy
22,67,78,6.204090835,80.0,N deficient,Healthy
36,65,80,6.051091339,80.0,N deficient,Healthy
59,60,84,7.690962337999999,80.0,"K excess, ph excess",Healthy
54,77,85,7.8292111439999985,80.0,"K excess, ph excess",Healthy
43,68,81,6.761599706,80.0,"N deficient, K excess",Healthy
28,76,82,6.654425315,70.0,"N deficient, K excess",Moderate
42,79,85,6.129533877,80.0,"N deficient, K excess",Healthy
32,60,83,8.829273328,60.0,"N deficient, K excess, ph excess",Moderate
22,78,76,8.621662982,70.0,"N deficient, ph excess",Moderate
31,79,75,8.204862075,70.0,"N deficient, ph excess",Moderate
28,58,81,6.18042747,70.0,"N deficient, K excess",Moderate
57,58,77,7.978996755,90.0,ph excess,Healthy
49,55,78,7.863113671,80.0,"N deficient, ph excess",Healthy
46,76,77,6.967843048,90.0,N deficient,Healthy
54,61,77,6.206582192999999,100.0,No major deficiency,Healthy
38,60,76,8.868741443,70.0,"N deficient, ph excess",Moderate
59,55,79,8.766128654,90.0,ph excess,Healthy
36,76,75,8.736337905,70.0,"N deficient, ph excess",Moderate
57,68,81,8.081095263,80.0,"K excess, ph excess",Healthy
35,66,81,6.138243973,70.0,"N deficient, K excess",Moderate
35,64,78,7.496645259,80.0,N deficient,Healthy
52,60,79,8.380185271,90.0,ph excess,Healthy
27,76,83,6.289614016,70.0,"N deficient, K excess",Moderate
57,60,84,6.586777189,90.0,K excess,Healthy
52,68,78,6.89655198,100.0,No major deficiency,Healthy
43,79,79,7.8067476560000015,80.0,"N deficient, ph excess",Healthy
44,74,85,7.150681303,80.0,"N deficient, K excess",Healthy
24,55,78,6.64919573,80.0,N deficient,Healthy
29,77,75,7.778591617999999,70.0,"N deficient, ph excess",Moderate
20,60,78,6.358740355,80.0,N deficient,Healthy
56,67,78,8.255450758,90.0,ph excess,Healthy
37,66,85,6.456148474,70.0,"N deficient, K excess",Moderate
49,71,76,6.613072145,90.0,N deficient,Healthy
59,69,80,8.165359297,90.0,ph excess,Healthy
20,79,77,7.64867466,70.0,"N deficient, ph excess",Moderate
24,56,85,6.545888558,70.0,"N deficient, K excess",Moderate
51,72,75,7.1042247970000005,100.0,No major deficiency,Healthy
57,73,85,7.358099622,90.0,K excess,Healthy
22,64,82,6.4740245000000005,70.0,"N deficient, K excess",Moderate
52,73,79,7.840339388999999,90.0,ph excess,Healthy
29,75,75,7.064790365,80.0,N deficient,Healthy
44,59,78,7.599033472,80.0,"N deficient, ph excess",Healthy
41,69,82,6.715587232000001,80.0,"N deficient, K excess",Healthy
52,56,85,6.81712422,90.0,K excess,Healthy
34,76,80,7.985417393,70.0,"N deficient, ph excess",Moderate
42,74,83,7.545258424,70.0,"N deficient, K excess, ph excess",Moderate
34,71,79,7.728998197,70.0,"N deficient, ph excess",Moderate
27,73,79,7.354973451,80.0,N deficient,Healthy
30,70,79,7.313122235,80.0,N deficient,Healthy
57,57,75,7.785039076,90.0,ph excess,Healthy
27,79,82,6.307004922999999,70.0,"N deficient, K excess",Moderate
32,71,85,6.4039823160000005,70.0,"N deficient, K excess",Moderate
31,76,82,7.599279991,60.0,"N deficient, K excess, ph excess",Moderate
33,75,84,7.217018459,70.0,"N deficient, K excess",Moderate
47,80,77,7.561108006,80.0,"N deficient, ph excess",Healthy
54,62,80,7.489545074,100.0,No major deficiency,Healthy
47,79,78,6.609696734,90.0,N deficient,Healthy
35,57,83,7.476800943,70.0,"N deficient, K excess",Moderate
53,73,77,7.325451279,100.0,No major deficiency,Healthy
45,61,78,6.489389282,90.0,N deficient,Healthy
37,78,79,7.786366322,70.0,"N deficient, ph excess",Moderate
30,75,81,6.4084378860000015,70.0,"N deficient, K excess",Moderate
37,55,82,8.423873703,60.0,"N deficient, K excess, ph excess",Moderate
53,65,76,8.719960893,90.0,ph excess,Healthy
22,60,85,7.811997977000001,60.0,"N deficient, K excess, ph excess",Moderate
60,61,78,6.317153205,100.0,No major deficiency,Healthy
42,67,77,7.114405288,90.0,N deficient,Healthy
39,76,76,8.135900726000001,70.0,"N deficient, ph excess",Moderate
35,63,76,7.714153037999999,70.0,"N deficient, ph excess",Moderate
30,65,82,7.103798069,70.0,"N deficient, K excess",Moderate
57,56,78,8.861479668,90.0,ph excess,Healthy
48,65,78,7.861128148,80.0,"N deficient, ph excess",Healthy
36,56,83,7.4526709,70.0,"N deficient, K excess",Moderate
40,58,75,7.168096055,90.0,N deficient,Healthy
49,69,82,7.26311855,80.0,"N deficient, K excess",Healthy
13,60,25,5.68597166,60.0,"N deficient, K deficient",Moderate
25,70,16,5.759237003,60.0,"N deficient, K deficient",Moderate
31,55,22,5.873171894,60.0,"N deficient, K deficient",Moderate
40,64,16,5.926676985,70.0,"N deficient, K deficient",Moderate
2,61,20,5.95561668,60.0,"N deficient, K deficient",Moderate
26,65,22,5.9499490810000015,60.0,"N deficient, K deficient",Moderate
17,57,21,5.789214288999999,60.0,"N deficient, K deficient",Moderate
26,80,18,5.581021521,60.0,"N deficient, K deficient",Moderate
17,59,17,5.689858133,60.0,"N deficient, K deficient",Moderate
27,59,22,5.794158503999999,60.0,"N deficient, K deficient",Moderate
28,58,24,5.748190462999999,60.0,"N deficient, K deficient",Moderate
25,57,19,5.566522896,60.0,"N deficient, K deficient",Moderate
28,80,17,5.809419584,60.0,"N deficient, K deficient",Moderate
25,60,22,5.887263027,60.0,"N deficient, K deficient",Moderate
12,78,23,5.99812453,60.0,"N deficient, K deficient",Moderate
6,77,25,5.792744849,60.0,"N deficient, K deficient",Moderate
22,79,17,5.912289889,60.0,"N deficient, K deficient",Moderate
27,80,15,5.7883869510000014,60.0,"N deficient, K deficient",Moderate
10,55,23,5.728233081,60.0,"N deficient, K deficient",Moderate
23,65,20,5.833940084,60.0,"N deficient, K deficient",Moderate
19,78,16,5.967533236,60.0,"N deficient, K deficient",Moderate
19,65,25,5.6250964460000015,60.0,"N deficient, K deficient",Moderate
22,70,19,5.515615023,60.0,"N deficient, K deficient",Moderate
37,64,22,5.954665349,60.0,"N deficient, K deficient",Moderate
11,71,17,5.74644777,60.0,"N deficient, K deficient",Moderate
18,79,20,5.877347515,60.0,"N deficient, K deficient",Moderate
21,63,17,5.979973965,60.0,"N deficient, K deficient",Moderate
24,80,22,5.635993966,60.0,"N deficient, K deficient",Moderate
34,60,22,5.635231778,60.0,"N deficient, K deficient",Moderate
16,75,21,5.679224346,60.0,"N deficient, K deficient",Moderate
17,77,23,5.670062975,60.0,"N deficient, K deficient",Moderate
37,72,18,5.724242065,60.0,"N deficient, K deficient",Moderate
40,73,20,5.811314232000001,70.0,"N deficient, K deficient",Moderate
9,77,17,5.783425416,60.0,"N deficient, K deficient",Moderate
1,62,23,5.607808432000001,60.0,"N deficient, K deficient",Moderate
33,59,22,5.946999529,60.0,"N deficient, K deficient",Moderate
23,59,19,5.852046999,60.0,"N deficient, K deficient",Moderate
6,62,22,5.824090984,60.0,"N deficient, K deficient",Moderate
25,63,20,5.502999119,60.0,"N deficient, K deficient",Moderate
7,79,23,5.821649914,60.0,"N deficient, K deficient",Moderate
8,72,17,5.711439256,60.0,"N deficient, K deficient",Moderate
27,64,15,5.514927264,60.0,"N deficient, K deficient",Moderate
28,66,23,5.99616119,60.0,"N deficient, K deficient",Moderate
32,57,18,5.695422862999999,60.0,"N deficient, K deficient",Moderate
27,56,22,5.833010957999999,60.0,"N deficient, K deficient",Moderate
17,77,24,5.568456899,60.0,"N deficient, K deficient",Moderate
0,65,15,5.645435626,60.0,"N deficient, K deficient",Moderate
13,72,21,5.821194486,60.0,"N deficient, K deficient",Moderate
34,60,23,5.659254981,60.0,"N deficient, K deficient",Moderate
9,80,19,5.945465949,60.0,"N deficient, K deficient",Moderate
11,72,20,5.9511774520000005,60.0,"N deficient, K deficient",Moderate
3,67,24,5.520880013999999,60.0,"N deficient, K deficient",Moderate
35,69,23,5.578410206,60.0,"N deficient, K deficient",Moderate
3,77,25,5.608165195,60.0,"N deficient, K deficient",Moderate
23,62,19,5.609435127999999,60.0,"N deficient, K deficient",Moderate
22,71,17,5.509295379,60.0,"N deficient, K deficient",Moderate
31,79,25,5.902033406,60.0,"N deficient, K deficient",Moderate
34,59,18,5.744117663,60.0,"N deficient, K deficient",Moderate
12,63,17,5.717143397,60.0,"N deficient, K deficient",Moderate
27,56,20,5.542690119,60.0,"N deficient, K deficient",Moderate
7,63,24,5.858617867,60.0,"N deficient, K deficient",Moderate
24,67,22,5.618844277000001,60.0,"N deficient, K deficient",Moderate
11,71,24,5.6066203460000015,60.0,"N deficient, K deficient",Moderate
37,74,15,5.582178402,60.0,"N deficient, K deficient",Moderate
25,76,24,5.56503533,60.0,"N deficient, K deficient",Moderate
34,66,17,5.889614577000001,60.0,"N deficient, K deficient",Moderate
20,69,15,5.934136378,60.0,"N deficient, K deficient",Moderate
37,65,16,5.683548308,60.0,"N deficient, K deficient",Moderate
18,74,15,5.70836603,60.0,"N deficient, K deficient",Moderate
4,67,25,5.948164454,60.0,"N deficient, K deficient",Moderate
37,56,25,5.774755143999999,60.0,"N deficient, K deficient",Moderate
5,59,15,5.97229163,60.0,"N deficient, K deficient",Moderate
11,61,21,5.532100554,60.0,"N deficient, K deficient",Moderate
22,80,20,5.669560726,60.0,"N deficient, K deficient",Moderate
12,61,19,5.655726817000001,60.0,"N deficient, K deficient",Moderate
5,74,21,5.591704013999999,60.0,"N deficient, K deficient",Moderate
27,69,22,5.932323085,60.0,"N deficient, K deficient",Moderate
31,75,18,5.824208308999999,60.0,"N deficient, K deficient",Moderate
36,68,20,5.86442953,60.0,"N deficient, K deficient",Moderate
5,65,16,5.866744372,60.0,"N deficient, K deficient",Moderate
32,79,15,5.706198621,60.0,"N deficient, K deficient",Moderate
11,78,22,5.940546818,60.0,"N deficient, K deficient",Moderate
0,55,22,5.916779289,60.0,"N deficient, K deficient",Moderate
14,59,15,5.779090476,60.0,"N deficient, K deficient",Moderate
29,68,23,5.82738029,60.0,"N deficient, K deficient",Moderate
32,68,19,5.514234138,60.0,"N deficient, K deficient",Moderate
17,64,17,5.662699104,60.0,"N deficient, K deficient",Moderate
13,69,19,5.86390397,60.0,"N deficient, K deficient",Moderate
14,67,22,5.624690247999999,60.0,"N deficient, K deficient",Moderate
9,69,20,5.591560999,60.0,"N deficient, K deficient",Moderate
20,73,22,5.976312537999999,60.0,"N deficient, K deficient",Moderate
40,78,20,5.669236258,70.0,"N deficient, K deficient",Moderate
27,72,23,5.961934481,60.0,"N deficient, K deficient",Moderate
14,67,15,5.690065688,60.0,"N deficient, K deficient",Moderate
7,56,18,5.698371311,60.0,"N deficient, K deficient",Moderate
27,65,18,5.59503163,60.0,"N deficient, K deficient",Moderate
30,63,16,5.5259045260000015,60.0,"N deficient, K deficient",Moderate
37,70,25,5.819403771,60.0,"N deficient, K deficient",Moderate
27,63,19,5.562201934,60.0,"N deficient, K deficient",Moderate
22,60,24,5.630664753,60.0,"N deficient, K deficient",Moderate
3,72,24,6.03160778,60.0,"N deficient, K deficient",Moderate
40,59,23,5.269084669,60.0,"N deficient, K deficient, ph deficient",Moderate
33,73,23,5.985792703,60.0,"N deficient, K deficient",Moderate
27,57,24,6.09186275,60.0,"N deficient, K deficient",Moderate
10,79,18,5.624731337999999,60.0,"N deficient, K deficient",Moderate
30,75,25,6.446091759,60.0,"N deficient, K deficient",Moderate
40,70,20,5.623490042999999,70.0,"N deficient, K deficient",Moderate
38,55,19,5.864623352000001,60.0,"N deficient, K deficient",Moderate
35,58,20,5.761702519,60.0,"N deficient, K deficient",Moderate
38,61,21,4.696518678,50.0,"N deficient, K deficient, ph deficient",Moderate
33,58,24,5.269504214,50.0,"N deficient, K deficient, ph deficient",Moderate
16,56,17,7.445444882999999,60.0,"N deficient, K deficient",Moderate
31,72,17,5.833031707999999,60.0,"N deficient, K deficient",Moderate
16,80,20,7.3393209289999986,60.0,"N deficient, K deficient",Moderate
27,72,17,6.347929353,60.0,"N deficient, K deficient",Moderate
40,62,19,4.697750704,60.0,"N deficient, K deficient, ph deficient",Moderate
18,58,16,4.962661422,50.0,"N deficient, K deficient, ph deficient",Moderate
3,68,16,4.964887857,50.0,"N deficient, K deficient, ph deficient",Moderate
26,67,24,5.642813116,60.0,"N deficient, K deficient",Moderate
16,70,20,5.6093956,60.0,"N deficient, K deficient",Moderate
24,63,19,4.681576043,50.0,"N deficient, K deficient, ph deficient",Moderate
9,76,25,5.70951224,60.0,"N deficient, K deficient",Moderate
16,55,19,6.413543781,60.0,"N deficient, K deficient",Moderate
28,75,21,6.007508163,60.0,"N deficient, K deficient",Moderate
16,71,24,4.946369874,50.0,"N deficient, K deficient, ph deficient",Moderate
24,70,21,5.517208078,60.0,"N deficient, K deficient",Moderate
38,72,21,5.902103172,60.0,"N deficient, K deficient",Moderate
9,66,21,5.719889876,60.0,"N deficient, K deficient",Moderate
34,56,17,4.548202098,50.0,"N deficient, K deficient, ph deficient",Moderate
1,76,19,6.6695294160000005,60.0,"N deficient, K deficient",Moderate
6,69,19,4.7509292180000005,50.0,"N deficient, K deficient, ph deficient",Moderate
26,73,21,4.946263888,50.0,"N deficient, K deficient, ph deficient",Moderate
27,61,18,5.266227032,50.0,"N deficient, K deficient, ph deficient",Moderate
27,71,23,7.10959773,60.0,"N deficient, K deficient",Moderate
36,61,21,5.617008201,60.0,"N deficient, K deficient",Moderate
17,73,18,5.632353113,60.0,"N deficient, K deficient",Moderate
26,72,22,4.674941549,50.0,"N deficient, K deficient, ph deficient",Moderate
17,64,16,7.161797643,60.0,"N deficient, K deficient",Moderate
14,74,19,6.624966131,60.0,"N deficient, K deficient",Moderate
39,60,15,5.004074623999999,50.0,"N deficient, K deficient, ph deficient",Moderate
6,66,15,6.3458060110000005,60.0,"N deficient, K deficient",Moderate
8,59,18,6.216814453,60.0,"N deficient, K deficient",Moderate
2,67,18,5.921666758,60.0,"N deficient, K deficient",Moderate
1,76,17,6.012719118,60.0,"N deficient, K deficient",Moderate
16,73,19,4.684079249,50.0,"N deficient, K deficient, ph deficient",Moderate
23,75,25,7.077170002000001,60.0,"N deficient, K deficient",Moderate
32,70,20,6.208843215,60.0,"N deficient, K deficient",Moderate
28,59,22,7.05181629,60.0,"N deficient, K deficient",Moderate
5,62,23,4.722222454,50.0,"N deficient, K deficient, ph deficient",Moderate
36,67,25,6.418062652000001,60.0,"N deficient, K deficient",Moderate
1,66,23,4.803564468,50.0,"N deficient, K deficient, ph deficient",Moderate
24,73,20,4.608695247,50.0,"N deficient, K deficient, ph deficient",Moderate
17,67,18,5.611510977000001,60.0,"N deficient, K deficient",Moderate
5,55,18,7.322097972000001,60.0,"N deficient, K deficient",Moderate
5,56,24,5.023115055,50.0,"N deficient, K deficient, ph deficient",Moderate
37,77,17,5.617122801,60.0,"N deficient, K deficient",Moderate
13,73,20,5.391560417999999,50.0,"N deficient, K deficient, ph deficient",Moderate
6,63,23,5.906596905,60.0,"N deficient, K deficient",Moderate
16,77,22,6.574209678,60.0,"N deficient, K deficient",Moderate
